"Episode","Title","Guest","Quote","Link","Time","MP3","Spotify","Overcast"
"366","Neil Gaiman — The Interview I’ve Waited 20 Years To Do (#366)","Neil Gaiman","","https://tim.blog/2019/03/28/neil-gaiman/","","https://rss.art19.com/episodes/c23f9079-1e14-4b4c-93cc-5dbe8684d06f.mp3","https://open.spotify.com/episode/09Lth2YyWp7gnuoC1gVh13","https://overcast.fm/+KebuXjhSc"
"365","Michael Pollan — Exploring the Frontiers of Psychedelics (#365)","Michael Pollan","","https://tim.blog/2019/03/21/michael-pollan-sxsw/","","https://rss.art19.com/episodes/54edeb9a-7665-4522-9ecf-91219d757dbb.mp3","https://open.spotify.com/episode/4P9y3X5aRBVtypNTLn40xV","https://overcast.fm/+KebsDhWec"
"364","Safi Bahcall — On Thinking Big, Curing Cancer, and Transforming Industries (#364)","Safi Bahcall","","https://tim.blog/2019/03/15/safi-bahcall-loonshots/","","https://rss.art19.com/episodes/41329492-2cee-4976-b910-7a1c9b2d64b9.mp3","https://open.spotify.com/episode/5BJ72L6uKUw9l63pM8xOrC","https://overcast.fm/+Kebs08_bU"
"363","Tea Time with Tim — How to Find Mentors, Decrease Anxiety Through Training, and Much More (#363)","–","–","https://tim.blog/2019/03/11/tea-time-with-tim/","","https://rss.art19.com/episodes/fb7b7920-bf19-4982-86ca-2a61b065418d.mp3","https://open.spotify.com/episode/5dobjpVpqRvd4Dfj31R2fA","https://overcast.fm/+Kebv-wcMI"
"362","Graham Duncan — Talent Is the Best Asset Class (#362)","Graham Duncan","We are not human beings having a spiritual experience, we are spiritual beings having a human experience. Welcome to the party.","https://tim.blog/2019/02/28/graham-duncan/","1:36:12","https://rss.art19.com/episodes/05f4cbf7-d2ef-4250-9eeb-513086c93e9f.mp3","https://open.spotify.com/episode/4dV50f6Up0MLgvSJ9Q6u9l","https://overcast.fm/+KebsP5IsI"
"361","Jim Collins — A Rare Interview with a Reclusive Polymath (#361)","Jim Collins","–","https://tim.blog/2019/02/18/jim-collins/","","https://rss.art19.com/episodes/5ba5c5e9-612a-4670-8fd2-e10b8832d3fc.mp3","https://open.spotify.com/episode/5DlEmtxuxhbM9nwOy4PxE7","https://overcast.fm/+KebsQ0r3Q"
"360","Caterina Fake — The Outsider Who Built Giants (#360)","Caterina Fake","Be kind.","https://tim.blog/2019/02/14/caterina-fake/","1:39:50","https://rss.art19.com/episodes/d7962685-3765-45fa-834e-28e07d3c9dd2.mp3","https://open.spotify.com/episode/1XoiCaWpj3HIJasRkwijcL","https://overcast.fm/+KebubPBuA"
"359","Tobi Lütke — From Snowboard Shop to Billion-Dollar Company (#359)","Tobi Lütke","Entrepreneurship is precious and needs to be celebrated.","https://tim.blog/2019/02/07/tobi-lutke-shopify/","1:57:18","https://rss.art19.com/episodes/b4c1d67d-0bb9-47bf-b4a7-2324447e17bd.mp3","https://open.spotify.com/episode/5vMCUAcH1gfC9Am9aZq0Oh","https://overcast.fm/+KebvERKUU"
"358","Ken Block — The Art of Marketing with a DC Shoes and Gymkhana Legend (500M+ views) (#358)","Ken Block","Don't be an asshole.","https://tim.blog/2019/01/31/ken-block-gymkhana/","1:45:23","https://rss.art19.com/episodes/145e3c3b-ed5c-424b-8f7d-577184f1444f.mp3","https://open.spotify.com/episode/18lgdC3y1lqACYmL7idRoe","https://overcast.fm/+KebsI34tM"
"357","Susan Cain — How to Overcome Fear and Embrace Creativity (#357)","Susan Cain","Only connect.","https://tim.blog/2019/01/24/susan-cain/","1:31:04","https://rss.art19.com/episodes/627d570d-a0c4-4ac8-9f04-f062512162be.mp3","https://open.spotify.com/episode/1TFRruyHF8Z7koOLrnFTkX","https://overcast.fm/+KebvCYqjU"
